2025-12-19 00:57:10,101 [INFO] ArvynConfig: Configuration loaded. Logging initialized.
2025-12-19 00:57:10,101 [INFO] ArvynConfig: Gemini API Key loaded successfully.
2025-12-19 01:35:32,495 | ArvynCore | INFO | ArvynBrain initialized with model: gemini-3-pro-preview
2025-12-19 01:35:32,648 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328d28 at 1dd02b11d40>
2025-12-19 01:35:32,648 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeLib) ptr=0x1dd00d48e40 at 1dd02b11b40>
2025-12-19 01:35:32,648 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328cd0 at 1dd02b11c40>
2025-12-19 01:35:32,648 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328d80 at 1dd02b11cc0>
2025-12-19 01:35:32,649 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328e30 at 1dd02b11740>
2025-12-19 01:35:32,649 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328e88 at 1dd02b11c40>
2025-12-19 01:35:32,649 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328f38 at 1dd02b11cc0>
2025-12-19 01:35:32,650 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01328f90 at 1dd02b11740>
2025-12-19 01:35:32,650 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd0131b868 at 1dd02b12040>
2025-12-19 01:35:32,650 | comtypes._post_coinit.unknwn | DEBUG | Release <POINTER(ITypeInfo) ptr=0x1dd01329040 at 1dd02b11d40>
